RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
T1,T1,Roberto DÃ­az,19,3,199,3
T1,T1,Chez Reavie,38,3,397,3
T3,T3,Chesson Hadley,28,2,289,1
T3,T3,Patton Kizzire,29,2,314,2
T3,T3,Adam Scott,21,2,217,1
T3,T3,Webb Simpson,16,2,178,1
T7,T7,Abraham Ancer,32,1,342,
T7,T7,Aaron Baddeley,23,1,241,1
T7,T7,Jonas Blixt,32,1,337,
T7,T7,Sam Burns,28,1,298,1
T7,T7,Patrick Cantlay,22,1,228,1
T7,T7,Paul Casey,26,1,271,
T7,T7,John Catlin,19,1,193,
T7,T7,Austin Cook,19,1,199,
T7,T7,Jason Day,20,1,203,1
T7,T7,Harris English,34,1,366,
T7,T7,Lucas Glover,26,1,271,
T7,T7,Bill Haas,27,1,282,
T7,T7,James Hahn,34,1,355,
T7,T7,David Hearn,21,1,223,1
T7,T7,Russell Henley,28,1,303,1
T7,T7,Max Homa,29,1,307,1
T7,T7,Beau Hossler,34,1,353,1
T7,T7,Charles Howell III,34,1,364,
T7,T7,Freddie Jacobson,17,1,183,
T7,T7,Si Woo Kim,36,1,377,1
T7,T7,Michael Kim,31,1,325,
T7,T7,Danny Lee,28,1,302,
T7,T7,Tom Lovelady,13,1,131,1
T7,T7,Steve Marino,12,1,130,1
T7,T7,Rory McIlroy,16,1,168,1
T7,,Phil Mickelson,18,1,185,
T7,T7,Grayson Murray,24,1,248,
T7,T7,Kevin Na,22,1,230,1
T7,T7,Alex Noren,14,1,144,
T7,T7,C.T. Pan,34,1,354,1
T7,T7,Seth Reeves,32,1,339,1
T7,,Patrick Rodgers,31,1,331,1
T7,T7,Sam Ryder,36,1,382,1
T7,T7,Rory Sabbatini,27,1,285,
T7,T7,Xander Schauffele,28,1,292,1
T7,T7,Ollie Schniederjans,30,1,322,1
T7,T7,Roger Sloan,27,1,287,
T7,T7,J.J. Spaun,39,1,409,1
T7,T7,Kyle Stanley,22,1,232,
T7,T7,Robert Streb,30,1,320,1
T7,T7,Kevin Streelman,30,1,313,1
T7,T7,Brian Stuard,40,1,421,1
T7,T7,Adam Svensson,29,1,303,1
T7,T7,D.J. Trahan,15,1,153,1
T7,T7,Peter Uihlein,28,1,295,1
T7,T7,Nick Watney,33,1,343,1
T7,T7,Richy Werenski,32,1,337,1
T7,T7,Gary Woodland,31,1,332,
